"timeindex","year","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
24,1992,0.725238824299827,11.815380093608,1.07419337550465,3.69517781785639,6.49513443822983,1.37885613193066,7.39237007656825,0.722051025673855
25,1993,0.728914244802396,11.832277366786,1.0820458640212,3.69448911663318,6.7008202424981,1.37190349500042,7.42249480655316,0.724913105515887
26,1994,0.729183051107542,11.8573680235074,1.113888760444,3.72230806618495,7.36240365433473,1.3713977559971,7.43626430957284,0.726228265034259
27,1995,0.657562268096911,11.366120310147,1.35585342393926,4.58947795002836,14.096125080274,1.5207685241645,6.64920038170905,0.656233058780866
28,1996,0.462998261116268,10.116057466824,1.63903848672497,6.44706868439453,-33.9895928692157,2.15983532549139,4.3123056093171,0.462785694904637
29,1997,0.778231193520449,7.06111520322198,0.49269385575778,2.87250091862254,-4.04049635839767,1.28496519842175,7.93677215256723,0.777929446739736
30,1998,0.74437213544971,6.96406180188812,0.577057046466865,3.07868413345622,-3.58316582442853,1.34341406989375,7.61362950334344,0.743601287587979
31,1999,0.717745511821624,6.57178473928644,0.670507399028573,3.67813346404359,-2.79946167369572,1.39325148472475,7.32553504005058,0.715772109857054
32,2000,0.587698971353536,6.19222076127873,0.76343045219028,4.44551207203488,-2.28273381869976,1.7015513872636,5.77493049297625,0.584591954009813
33,2001,0.684106886102654,4.8746958646259,0.310273108825697,2.53882938936014,-1.44443228638605,1.46175988038504,6.85002930577193,0.673318010330445
34,2002,0.620963497701563,4.61125499813816,0.454000496351324,2.6494930885475,-1.28588189076793,1.61040061726881,6.05954881363849,0.607642304002432
35,2003,0.678593077945738,4.203343965277,0.914600436491998,2.36727998081596,-1.09241523491965,1.4736371951026,6.66138624874326,0.657259354152606
36,2004,0.811489122641313,4.18276366397928,0.926652656980571,2.37703975394014,-1.08110551949769,1.2323024081273,7.99464267645173,0.784564043646918
37,2005,0.763744100326394,3.82535979291672,1.08544764388371,2.78068609844789,-1.13913131033231,1.30933908304187,7.58415894447653,0.740654694892662
38,2006,0.71989358742766,3.38310541256888,1.20311060878535,3.08324599012169,-1.18438483012713,1.38909419039725,7.14880377053414,0.699586780644473
39,2007,0.659490435715948,2.95180398192398,1.33244575352786,3.47515159051763,-1.22767441123417,1.51632221764428,6.47940282099241,0.64204864718852
40,2008,0.571830160342971,2.5328884293413,1.47306097831784,3.98813243466999,-1.26621090120885,1.74877099766865,5.44071198982949,0.557526016441678
41,2009,0.435528352054663,2.12575355876749,1.61601797793429,4.64241722025287,-1.2944439680296,2.29606177251691,3.89607566636851,0.425050859795143
42,2010,0.201096516798298,1.72651400590895,1.71830048681307,5.32416914623145,-1.30070605674534,4.97273655417418,1.94973923908931,0.19629017992931
43,2011,0.572586379420342,1.32479002943156,1.56870726700049,4.8666267080927,-1.25823322597929,1.74646138284384,5.44570287859393,0.557931387304509
44,2012,0.744635809565033,1.31286290035752,1.60722490062753,4.95062906324149,-1.23200826929764,1.3429383695422,7.41723465352178,0.724411859439555
45,2013,0.676700728946839,1.04288921574478,1.55481011275127,5.16162745932597,-1.20953914603674,1.47775812441686,6.66504807232807,0.657567992485405
46,2014,0.920736500242347,0.782811968820637,0.968270905299482,2.48314953394277,-1.1356860817601,1.08608706153909,8.6891249535791,0.891138123501513
47,2015,0.907171246230323,0.741194922514582,1.20031211782267,3.13269290398769,-1.22320603475524,1.10232770731592,8.64726227674737,0.881859363264696
