"timeindex","YEAR","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
27,1981,0.115277768883957,0.733177849837576,0.151093995375913,2.2932024571692,32.5519636818571,8.67469946444434,1.49961890801321,0.112280748323232
28,1982,-0.0220861995798678,0.703303368350133,0.139372966070224,2.47254525966755,-153.378885989878,-45.2771422436809,0.922828325578103,-0.0217978054460345
29,1983,0.0180137070410303,0.645397893839065,0.0629969230779806,2.52258008805174,-9.4680168458203,55.513282064723,1.06779886226262,0.0179217425124678
30,1984,0.0280495050497714,0.673620854018139,0.018206855227224,2.36989245057628,-54.1615803603624,35.6512529624172,1.09750084880572,0.0254477324020182
31,1985,0.00332116892597179,0.655930973026629,0.089092632260935,2.54979108482785,-12.7946767244605,301.098806561727,1.01220977489258,0.00330768318583942
32,1986,0.0394070856340316,0.74972092814101,0.279214213008101,2.9354890008692,-6.18952744744634,25.376147053524,1.11788832086804,0.0305064962174365
33,1987,0.0736593185648823,0.752156155617807,0.245094300014943,2.88698034623189,-5.80266144430964,13.5760148136472,1.30408983529772,0.0731537878718199
34,1988,0.0964911620699735,0.749063443345778,0.22697298585997,2.92266898423576,-5.49904380748076,10.3636434523902,1.41552715905321,0.0960669151967495
35,1989,0.114784009169344,0.726290590316266,0.346011858311767,3.25882959377821,-7.81152728776283,8.71201491598597,1.51141763682389,0.114488178975591
36,1990,0.117940103335105,0.734075367636158,0.248268610462426,3.09505319277543,-6.20660551562165,8.47888014103804,1.51651840799746,0.115437562381999
37,1991,0.119968122983056,0.705486281167699,0.240378298956335,3.40703848074839,-7.55007303276457,8.33554760326819,1.52968675068549,0.117874960779299
38,1992,0.121058639459269,0.704643835951763,0.249166173418999,3.42568224938072,-7.71817895191859,8.26045959599983,1.54411606443323,0.120523609447289
39,1993,0.152235394484657,0.742985591382513,0.247662939503391,3.02384419216159,-5.83900280520148,6.56877464918834,1.63493118158741,0.136687104826161
40,1994,0.187843916298516,0.738698721746128,0.157113797158307,3.06020068705341,-4.84040452787477,5.32356873570944,1.95193552228677,0.187264546755832
41,1995,0.261328308246574,0.722179787011195,0.185078486439864,3.28589990870064,-5.39377927710277,3.82660419267116,2.49541599954346,0.258584334156074
42,1996,0.225295084415891,0.706837181037575,0.0635687952925998,3.44510980333606,-3.80591850400836,4.43862325089177,2.19734480417056,0.221462180473003
43,1997,0.166556722147736,0.684200942769771,0.0123057896980733,3.79392827752296,-3.13997946163248,6.00396061536922,1.81561298088933,0.16651856484905
44,1998,0.132211476473516,0.694753920111732,0.0529923601450125,3.71907257928476,-2.35489060956618,7.56363990988568,1.53915032018474,0.119614685399346
45,1999,0.159616661691676,0.696270872926532,0.187810500553379,3.71853727529779,-2.08994002983374,6.26501011486918,1.75089655721762,0.156162070770978
46,2000,0.129986979579142,0.697569867920562,0.286271797557104,3.72696790191323,-1.94883041425448,7.69307820858439,1.58931234391385,0.128674391778174
47,2001,0.0215913743557744,0.60569566081581,0.136657859332413,3.74943880863302,-1.42383485026643,46.3147914311698,1.08218391890662,0.0215902540230505
48,2002,0.0557431780551387,0.709436209199088,0.621100241105609,4.59212340100845,-1.87236191218821,17.9394149183752,1.15043280688361,0.0384093521564482
49,2003,-0.0441413532924496,0.712986136314316,0.621197229187931,4.52888642611777,-1.85841884010525,-22.6544934717951,0.852844645223029,-0.0430436325733676
50,2004,-0.152977307525091,0.860048075246518,1.01458749459907,4.52578758262252,-2.87736440336713,-6.53691724725893,0.671149542142785,-0.106546970073458
51,2005,0.246324603710964,1.0178626435752,1.18527554338602,4.24047800322836,-4.91260391925738,4.05968378690013,1.88507828555382,0.17726281853146
52,2006,0.50970146032031,1.20224696492031,1.24527198531887,3.94951148899117,-13.4794805908015,1.96193277408225,3.62411425592801,0.370442851799085
53,2007,0.584378734997287,1.28740841176514,1.04167082451176,3.16900427328055,32.1560624127146,1.71121900937179,5.45455662313227,0.50165053244471
54,2008,0.694219527885233,1.42693536450591,0.935743737115613,2.77047164832335,7.72535100308065,1.44046653807946,6.52610938116279,0.564830932658301
