"timeindex","Year","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
16,2001,0.0784185465029957,4.36045105082502,0.361314817895066,1.89063113275886,-6.01653247263815,12.7520853751325,1.23658051690866,0.068094388340874
17,2002,0.170821486914483,4.44120782377466,0.356411239520287,1.84153019105039,-5.45152901709222,5.85406448604807,1.61470133310111,0.159747627252798
18,2003,0.0148586397611464,5.10984449615927,0.386758297640036,1.84674286685007,-26.4555174257421,67.3009115285831,1.03721124029793,0.011450694956065
19,2004,0.526446840539843,7.71574493205229,1.4607887328565,4.97106773063989,7.2820332114609,1.89952702342093,2.01999110283172,0.243661383284814
20,2005,0.255830674895609,7.6617750465268,1.57568297864786,5.293267973567,9.15080682374951,3.90883540610619,2.08307147867131,0.255828670687658
21,2006,0.276064391132503,7.77307693689204,1.5563263247485,5.1687837495806,11.9269980081994,3.62234330873926,2.13687686094229,0.266058308861023
22,2007,0.249026317215132,7.63265265337867,1.71478445050909,5.76059186606253,19.0599920370909,4.0156398375201,2.04085476771048,0.247707434171436
23,2008,0.259350378419781,7.6201029385119,1.82229867478077,6.03823680997692,50.5844795079296,3.85578770346506,2.09793346668583,0.258667462849941
24,2009,0.246342948978357,7.60448598397112,1.82841645045027,6.06177509319136,43.8792044810332,4.05938146046899,2.0009120805854,0.239941884472293
25,2010,0.267752852174769,7.570671835117,1.8382490838709,6.10868310974662,33.1065895498949,3.73478747986325,2.12043269586513,0.262945747059014
26,2011,0.288070083541105,7.68510856094571,1.86574147723405,6.08232295361516,-80.5955557098097,3.47137747768699,2.21174352646022,0.280084070712171
27,2012,0.233218448294703,7.62140545711953,1.68558409566058,5.60275888199568,12.9501488423014,4.28782545854333,1.93977995969266,0.227892376463102
28,2013,0.215389013223014,7.55999864914174,1.61115849719928,5.50590870232188,8.48035544622623,4.64276234444975,1.87660920151694,0.215216050611531
29,2014,0.256034005437209,7.4630356767853,1.52144026426691,5.41745003915184,5.71484054507686,3.90573118712251,2.08072838983079,0.25538017389213
30,2015,0.255484491030781,7.39587343721727,1.77644044762765,6.15993560690281,10.4770211872522,3.91413191448681,2.05882449333753,0.251174843250676
31,2016,0.274203200311592,7.47273207863109,1.82464226872725,6.19005913574455,17.4792454548625,3.64693044743331,2.15212354745383,0.268933666980138
32,2017,0.251279963312026,7.29379382000309,1.92779942720816,6.50863269478674,11.2642287165738,3.97962490450643,2.03354347052395,0.246292071204999
33,2018,0.341170269008183,7.18114603252471,1.97923880671562,6.7054479903212,8.82313078894678,2.9310877612727,2.52262365929396,0.336232438080143
