"timeindex","WaterYear","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
28,1990,0.532854345773497,7420.44526337696,0.910772864912315,3.06654366712743,9.32141971069875,1.87668545434942,5.8714733811701,0.526996849702748
29,1991,0.516856510549923,7211.08130248308,1.00221562512148,3.17902873413,7.24351975943526,1.93477295842907,5.56833171922319,0.508682285140698
30,1992,0.497058192986003,7093.04384824822,1.05240969507089,3.25493512421039,6.37120363472146,2.01183687164002,5.21758827387835,0.486694195622306
31,1993,0.51617563989178,6924.66902841835,1.1303208362027,3.36262184619596,5.39786435215229,1.93732505511042,5.56337852360507,0.508378052796108
32,1994,0.513494891376955,6924.52393433299,1.13026411030514,3.36265827165811,5.39628756481217,1.94743904329499,5.59684500406415,0.510430341543696
33,1995,0.559530629949976,6936.41207341545,1.13094419735071,3.35578460828889,5.49630182168814,1.78721225697582,6.30913738082472,0.552515068160253
34,1996,0.59292638242412,6467.45172725769,1.3543738240118,4.2392805260858,10.091489503961,1.68655001639765,6.91514833310996,0.586472930466563
35,1997,0.561554904665069,6574.65523428411,1.29251990940619,3.9577539603962,8.84392276632065,1.78076977280865,5.94027405655803,0.531075526800192
36,1998,0.536804962568738,6563.93325695178,1.31007710980001,4.00542840300168,9.17558996595245,1.86287398539455,6.00481690749587,0.534877637597976
37,1999,0.458340751026581,6498.45134945467,1.43565396970524,4.34458871552878,12.9931559667825,2.18178287171765,4.78205751363993,0.457947249840065
38,2000,0.495521364766707,5290.71699596211,1.2652259868519,3.61560083966758,-17.699574042804,2.01807645664441,5.30652447502982,0.492358948906663
39,2001,0.373505280892255,5090.6924509102,1.50268122228601,4.42139258661375,-7.85078339511608,2.67733831663941,3.63861795178255,0.37167061124301
40,2002,0.248666386913193,4192.44418295298,1.44691418806513,4.40335753407193,-3.533088893182,4.02145224536958,2.4121984563462,0.248644458732344
41,2003,0.371381769436612,3771.6125856775,1.69711290578605,5.86252136467718,-2.45727767095457,2.69264698026778,3.63515846942758,0.371378134093465
42,2004,0.35531335236979,3741.72683261449,1.69723390531081,5.92314701587209,-2.54443864600025,2.81441717101376,3.44229972685207,0.354689457423615
43,2005,0.375966866987242,3692.54558957006,1.6583889553279,5.90882341969033,-2.82654505655497,2.65980884968231,3.67382315305968,0.374633821440539
44,2006,0.366113779094178,3682.66352392931,1.72380687664742,6.09436502609135,-2.68461663220822,2.73139132450615,3.5719725357834,0.365994604480467
45,2007,0.382935869677762,3657.13466184739,1.84270871306538,6.48162488811105,-2.46707429897582,2.61140331628242,3.76805727211975,0.382450544612751
46,2008,0.37261532542994,3649.2411726896,1.83892207800777,6.49212919083113,-2.49819510947309,2.68373287879707,3.63768495691567,0.371591755444161
47,2009,0.329336981958716,3594.22170492756,1.85515625693035,6.62849694714313,-2.66839698776353,3.03640360718844,3.16583727435584,0.329315049343403
48,2010,0.298842250392469,3420.92879882764,2.13211026929385,7.24115959555202,-3.00733446237195,3.34624705404507,2.85954889758315,0.298841475049881
49,2011,0.272224788486961,3352.90325078181,2.17340906328392,7.40116615257866,-3.38532846167169,3.67343475793682,2.61204152001102,0.272021849678055
50,2012,0.286261789190449,3788.04598538088,1.84865474866095,5.37620449317537,-7.35038222059322,3.49330591004832,2.1760270732998,0.218634318737014
51,2013,0.262988343631615,3805.23366481414,1.75033175857516,5.09280535195026,-9.14564361748947,3.80244989641352,2.51061098088382,0.260366816959597
52,2014,0.262303853341124,3753.53299387498,1.78468651265776,5.19265609234854,-11.2167943913798,3.81237251097303,2.51848836351843,0.261287057068558
53,2015,0.266209990169906,3766.69937931949,1.80965825933311,5.23352124056995,-9.59858670757066,3.75643303003677,2.54544905290159,0.2644170649748
54,2016,0.275587031324216,3167.98400787734,2.09813796094012,6.95948998411039,-3.89629178287404,3.62861777346679,2.63609757671701,0.2747261601596
55,2017,0.307589031449203,3124.47627724858,2.26299456202596,7.6284502303785,-3.41528523827006,3.25109122158391,2.94460872221865,0.307582113831348
