"timeindex","year","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
24,1992,0.49167467725987,3.93432786608936,0.503785138883952,2.14493169804577,7.25666166132045,2.03386516786477,4.56906820167989,0.485116031688563
25,1993,0.428431102361055,3.75116769488215,0.52831010876779,2.20925494940076,4.78079708095778,2.33409758182603,3.93237880344467,0.428431047397833
26,1994,0.416089496026299,3.65760494786437,0.629310868382492,2.17659306362649,4.31185881091968,2.40332911440955,3.52035321587512,0.388852848405414
27,1995,0.403020968791244,3.63313673524775,0.632310780196295,2.1968879868326,4.13447993294903,2.48126047386378,3.58267199525011,0.395023431228751
28,1996,0.404203432915737,3.57727186910791,0.626691200013772,2.2438526613625,3.73012849548461,2.47400174903627,3.645684126091,0.401191213937872
29,1997,0.405592827157169,3.61457243971598,0.636214427941728,2.21111245709115,4.0115588888716,2.46552683638188,3.57602502216052,0.394368675844574
30,1998,0.491940830957701,3.68582360206732,0.602473452887413,2.16789785751295,4.44580110342223,2.03276479013384,4.31428435524269,0.46296024183371
31,1999,0.515032795372,3.96646627123685,0.280559903861037,2.86538805714709,17.9186847336159,1.94162392955523,3.71348465726095,0.407751086657368
32,2000,0.659356504181976,3.868676479507,0.386380036249962,3.10244510298588,-15.0902736675607,1.51663022000616,6.16949267751644,0.616586519741095
33,2001,0.71334402120285,3.97473353114856,0.346212719690017,2.94292413499644,-11.1907519066973,1.4018481549951,6.70409874464743,0.660866455613343
34,2002,0.728216830714173,4.08203008232535,0.431239624333733,2.80985490840262,-6.83768331710848,1.3732173685402,7.03959441784822,0.689845053960236
35,2003,0.738120952922031,4.16559002693176,0.494799596973274,2.70761440419683,-5.37808368607246,1.35479150949618,7.2628446205442,0.709965341215382
36,2004,0.74650365581382,4.23150950011047,0.505329366954307,2.62042212439411,-4.87453282190003,1.33957816845495,7.35760641562534,0.718773252689704
37,2005,0.685229486501123,4.2711191159226,0.361422039972028,2.45098690877143,-6.57645165318173,1.45936510278642,6.78746822036494,0.667954322456403
38,2006,0.693387586044466,4.2970757187975,0.255283045542952,2.35270247404593,-8.68746863472175,1.44219484185555,6.96669318606694,0.683436327443641
39,2007,0.728333978645044,4.54690667893116,0.227735033423131,2.11084546131515,-19.1175820246141,1.37299649517979,6.59452735917378,0.651643025685074
40,2008,0.756956086656498,4.80907960237046,0.138651377519479,1.93233292885462,29.7325516451631,1.32108059850213,6.88258851843892,0.676126020286128
41,2009,0.81585279011007,5.02004327645841,0.0246710448917977,1.83712291463591,8.0964675089314,1.22571131964271,7.5571216076239,0.737973600451218
42,2010,0.773783729923757,5.0288395166591,0.0173934926150426,1.82598204521687,7.90281196868772,1.29235077105916,7.80532481239656,0.763466087613246
43,2011,0.760743536499901,5.07047213171703,0.0132701741315124,1.77757639383385,7.14062236006742,1.3145034456696,7.62014626089125,0.744256375552362
44,2012,0.77720546606917,4.80175327206333,0.0521139298490815,1.86495511230385,16.051487099404,1.28666104866406,7.89547094354359,0.773299433398829
45,2013,0.752007223562869,4.7854218756338,0.173160487270524,1.90668284271879,52.7856390210685,1.3297744604928,7.6382036746208,0.746078398598288
46,2014,0.757088536689181,4.55473205088316,0.279897941811823,2.12087710349566,-16.8857305132313,1.32084948000018,7.72024512533368,0.754489743475554
47,2015,0.763201873824575,4.43851270400291,0.421794189995633,2.36345394732049,-8.34192578455067,1.31026931968704,7.78348113728911,0.761134947484378
