"var","conc.p","conc.r2","flux.p","flux.r2","bird.p","bird.r2","tree.p","tree.r2"
"TMEAN","0.008","0.165545690394124","0.458","0.0265179245756152","0.187","0.0373850458000073","0.222","0.0269823334301737"
"PRCP","0.149","0.0626060701383686","0.256","0.0462346268566943","0.346","0.0225106262266192","0.027","0.0659022849778294"
"pH","0.001","0.524810369044419","0.011","0.15420202389617","0.001","0.148900462253913","0.001","0.320180957545114"
"totN","0.001","0.346053458557341","0.005","0.174611899254787","0.003","0.127850932685286","0.004","0.115284139451976"
