"var","ews","tau","pval"
"ws1_flux_Ca","kt",-0.527093596059113,6.4566804198388e-05
"ws1_flux_NO3","kt",-0.353846153846154,0.01197986802348
"ws1_volwt_Ca","kt",0.221674876847291,0.0950247653926706
"ws1_volwt_NO3","kt",0.563076923076923,6.03182706962619e-05
"ws2_flux_Ca","kt",0.398550724637681,0.00685763096562804
"ws2_flux_NO3","kt",0.681159420289855,3.51077069055209e-06
"ws2_volwt_Ca","kt",0.717391304347826,1.02661320802065e-06
"ws2_volwt_NO3","kt",0.673913043478261,4.4577020626518e-06
"ws4_flux_Ca","kt",0.61038961038961,7.89022429025617e-05
"ws4_flux_NO3","kt",0.645021645021645,3.00227634745545e-05
"ws4_volwt_Ca","kt",0.272727272727273,0.0804170004514182
"ws4_volwt_NO3","kt",0.619047619047619,6.22524410751429e-05
"ws5_flux_Ca","kt",0.8,1.89310515990464e-05
"ws5_flux_NO3","kt",0.816666666666667,1.25858616112981e-05
"ws5_volwt_Ca","kt",0.733333333333333,8.96730039833286e-05
"ws5_volwt_NO3","kt",0.766666666666667,4.18450286156862e-05
"ws6_flux_Ca","kt",-0.586206896551724,8.76221698751937e-06
"ws6_flux_NO3","kt",0.73015873015873,5.54010938404348e-08
"ws6_volwt_Ca","kt",-0.16256157635468,0.222740206090239
"ws6_volwt_NO3","kt",0.71957671957672,8.60228764151369e-08
