"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","ws"
1963,697.815,10670.5924,2356.0033,1742.9027,5342.8241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
1964,495.452,4822.98155,1783.19835,1006.42685,4138.81325,1387.5977,NA,NA,NA,284.8003,NA,29588.48075,4740.2861,2852.26785,NA,NA,NA,NA,NA,20907.6415,NA,NA,NA,6
1965,756.518,10368.1662,2724.72635,1342.28825,6289.8677,2415.32945,NA,NA,NA,945.17795,NA,47134.51485,6511.0112,4297.0638,NA,NA,NA,NA,NA,31177.0989,NA,NA,NA,6
1966,846.328,10771.29535,2896.23895,1721.53845,6664.4128,2854.02895,NA,NA,NA,382.844275,113.299982482384,51443.339325,6080.8747,4611.1106,NA,NA,NA,NA,NA,36257.6285,NA,NA,NA,6
1967,949.994,12216.1916,3455.20585,2433.8232,8740.04175,3107.59735,NA,NA,NA,257.8425,114.251024961806,58226.7144,12386.0048,5324.47445,NA,NA,NA,NA,NA,36419.738,NA,NA,NA,6
1968,897.189,11693.8775,3041.7203,2295.6724,6934.80515,3191.745825,NA,NA,NA,169.064875,142.881154998866,51517.26285,11607.998325,5092.6094,NA,NA,NA,NA,NA,29198.916,NA,NA,NA,6
1969,869.98,14133.89805,3243.2266,2291.8992,7085.884,3336.47945,NA,NA,NA,404.359425,144.861059773404,47074.8845,28182.95615,4130.5311,NA,NA,NA,NA,NA,35337.53725,NA,NA,NA,6
1970,828.369,12076.0841,2820.09155,1746.5724,6254.2031,NA,NA,NA,NA,251.750075,137.407155704085,52613.3085,19326.3874,4638.28245,NA,NA,NA,NA,NA,34711.5175,NA,NA,NA,6
1971,742.507,10656.8435,2543.5984,1710.9303,5568.12105,NA,NA,NA,NA,98.45025,119.959099720543,45996.524,16847.4487,3525.5881,NA,NA,NA,NA,NA,31520.7449,NA,NA,NA,6
1972,1029.492,13969.4206,3176.2323,2370.5411,7948.8827,NA,NA,NA,NA,221.5647,177.772656889898,62386.3855,18619.29645,6632.231,10.373275,NA,NA,NA,NA,42771.52475,NA,NA,NA,6
1973,1400.765,19024.14505,4267.3128,3091.23555,9087.8151,NA,NA,NA,NA,437.9467,223.881334077619,81547.222,32710.44875,5875.7937,16.4289,NA,NA,NA,NA,50545.167,NA,NA,NA,6
1974,808.076,11205.393,2771.7075,2102.16205,5900.5263,NA,NA,NA,NA,164.2045,95.9873407003479,48599.5735,19837.0246,4195.33105,6.94575,NA,NA,NA,NA,32229.00875,NA,NA,NA,6
1975,1187.991,15199.16285,3581.06685,2263.09575,7973.9576,NA,NA,NA,NA,194.02145,146.32115862112,70697.896,26334.4165,4620.0931,0.67535,NA,NA,NA,NA,47316.4965,NA,NA,NA,6
1976,850.022,10100.94865,2482.93945,1922.1076,5917.91425,2896.1806,NA,NA,NA,88.38145,100.319260277898,46413.4455,20070.8741,3270.5506,14.2218,NA,NA,NA,NA,35333.633,NA,NA,NA,6
1977,982.263,10889.20945,2561.7179,1833.75075,6331.38165,3840.459075,NA,NA,NA,117.06295,119.991395242536,54752.792,7475.75605,3517.81855,39.9308,NA,NA,NA,NA,38514.9065,NA,NA,NA,6
1978,851.007,8890.34765,2180.5759,1792.94495,5625.402,3733.18625,NA,NA,NA,98.7644,122.526299415443,46810.5065,6427.5045,4121.50305,33.89705,NA,NA,NA,NA,30013.555,NA,NA,NA,6
1979,708.141,8152.0597,2030.78235,2085.31895,5313.35575,2518.81925,NA,NA,NA,130.31365,84.9114204239817,38082.699,10910.94725,3919.0851,31.8116,NA,NA,NA,NA,29145.5275,NA,NA,NA,6
1980,779.536,8703.0872,2285.7468,2043.8616,6372.95465,3469.0738,NA,NA,NA,155.381,106.009117486991,43100.4155,11330.9461,5574.2265,18.0036,NA,NA,NA,NA,32523.029,NA,NA,NA,6
1981,1029.347,9988.50535,2545.61655,1782.40845,7064.7832,4224.17205,NA,NA,NA,163.6374,140.657475697018,55664.1535,6918.12575,4474.7911,38.8757,NA,NA,NA,NA,43255.9405,NA,NA,NA,6
