"WaterYear","flow_mm","volwt_Ca","volwt_Mg","volwt_K","volwt_Na","volwt_Al_Ferron","volwt_TMAl","volwt_OMAl","volwt_Al_ICP","volwt_NH4","volwt_SO4","volwt_NO3","volwt_Cl","volwt_PO4","volwt_DOC","volwt_TDN","volwt_DON","volwt_DIC","volwt_SiO2","volwt_Mn","volwt_Fe","volwt_F","volwt_H","volwt_pH","volwt_SpecCond","volwt_ANC","ws"
1963,697.815,1.53,0.34,0.25,0.77,NA,NA,NA,-888.88,NA,-888.88,NA,-888.88,NA,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,NA,NA,6
1964,495.452,0.97,0.36,0.2,0.84,0.28,NA,NA,-888.88,0.057,5.97,0.957,0.58,NA,-888.88,-888.88,-888.88,-888.88,4.22,-888.88,-888.88,-888.88,-888.8888,-888.88,NA,NA,6
1965,756.518,1.37,0.36,0.18,0.83,0.319,NA,NA,-888.88,0.125,6.23,0.861,0.57,NA,-888.88,-888.88,-888.88,-888.88,4.12,-888.88,-888.88,-888.88,-888.8888,-888.88,NA,NA,6
1966,846.328,1.27,0.34,0.2,0.79,0.337,NA,NA,-888.88,0.045,6.08,0.719,0.54,NA,-888.88,-888.88,-888.88,-888.88,4.28,-888.88,-888.88,-888.88,0.0134,4.87,23.45,NA,6
1967,949.994,1.29,0.36,0.26,0.92,0.327,NA,NA,-888.88,0.027,6.13,1.304,0.56,NA,-888.88,-888.88,-888.88,-888.88,3.83,-888.88,-888.88,-888.88,0.012,4.92,24.02,NA,6
1968,897.189,1.3,0.34,0.26,0.77,0.356,NA,NA,-888.88,0.019,5.74,1.294,0.57,NA,-888.88,-888.88,-888.88,-888.88,3.25,-888.88,-888.88,-888.88,0.0159,4.8,23.61,NA,6
1969,869.98,1.62,0.37,0.26,0.81,0.384,NA,NA,-888.88,0.046,5.41,3.239,0.47,NA,-888.88,-888.88,-888.88,-888.88,4.06,-888.88,-888.88,-888.88,0.0167,4.78,27.63,NA,6
1970,828.369,1.46,0.34,0.21,0.76,NA,NA,NA,-888.88,0.03,6.35,2.333,0.56,NA,-888.88,-888.88,-888.88,-888.88,4.19,-888.88,-888.88,-888.88,0.0166,4.78,27.34,NA,6
1971,742.507,1.44,0.34,0.23,0.75,NA,NA,NA,-888.88,0.013,6.19,2.269,0.47,NA,-888.88,-888.88,-888.88,-888.88,4.25,-888.88,-888.88,-888.88,0.0162,4.79,27.58,NA,6
1972,1029.492,1.36,0.31,0.23,0.77,NA,NA,NA,-888.88,0.022,6.06,1.809,0.64,0.001,-888.88,-888.88,-888.88,-888.88,4.15,-888.88,-888.88,-888.88,0.0173,4.76,27.12,NA,6
