"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","ws"
1976,948.729,13925.766,2884.38925,5872.6545,9175.67105,NA,NA,NA,NA,103.9131,17.0529649893381,54346.468,9045.9775,3114.04035,50.76125,NA,NA,NA,NA,61833.5645,NA,NA,NA,4
1977,1041.954,16051.65555,3167.9343,5845.72795,9709.48475,NA,NA,NA,NA,110.0015,19.1658719146309,58501.833,2867.9648,3423.67545,48.3647,NA,NA,NA,NA,66669.4815,NA,NA,NA,4
1978,869.854,13113.34725,2649.67065,4459.5015,7742.673,NA,NA,NA,NA,123.48245,22.0856546632899,47276.302,1191.05775,3521.96745,56.67855,NA,NA,NA,NA,48318.9635,NA,NA,NA,4
1979,724.424,11617.63655,2456.25075,5286.0903,6979.25395,NA,NA,NA,NA,146.40205,16.4259588004653,40010.662,2908.97145,3918.7265,47.3083,NA,NA,NA,NA,45391.7275,NA,NA,NA,4
1980,769.404,12547.41705,2800.3523,5094.0779,7895.71695,NA,NA,NA,NA,180.61525,30.8983843330056,45892.968,1533.28715,5269.89045,31.53335,NA,NA,NA,NA,49346.8905,NA,NA,NA,4
1981,1126.518,17560.11465,3737.7091,5901.77905,10358.9798,NA,NA,NA,NA,200.161,24.8224624882373,63892.6715,1687.1794,4356.25595,86.3018,NA,NA,NA,NA,81123.5415,NA,NA,NA,4
1982,824.399,13015.09655,2784.3115,4036.5237,7766.07795,NA,NA,NA,NA,125.06385,10.1241897981631,45887.4075,1091.7767,3594.4276,51.77415,NA,NA,NA,NA,51886.9805,NA,NA,NA,4
1983,1035.848,15916.26645,3224.193,4920.80595,8734.20495,NA,NA,NA,NA,154.8954,23.7072928282274,54455.581,296.3905,4389.3258,85.84945,NA,NA,NA,NA,58766.2785,NA,NA,NA,4
1984,662.634,10481.0436,2209.19555,2836.3686,6166.1646,NA,NA,NA,NA,104.1225,11.5748568709322,36012.113,1001.259,3092.4708,45.8715,NA,NA,NA,NA,41541.0045,NA,NA,NA,4
1985,882.801,13468.72025,2801.8836,3944.145,7299.1585,NA,NA,NA,NA,168.37095,29.6853897283024,45373.7695,2016.2079,3386.6881,84.3533,NA,NA,NA,NA,50069.361,NA,NA,NA,4
1986,789.718,13549.11465,2931.88105,3288.40615,7584.89385,NA,NA,NA,NA,210.834,20.7813305884172,40739.4062,9530.00195,3161.0495,73.7975,NA,NA,NA,NA,50416.5225,NA,NA,NA,4
1987,743.748,12963.51055,2929.56815,3501.92885,7596.75875,NA,NA,NA,NA,154.49865,15.5412045845655,39980.175,6518.2589,3838.3198,96.5326,NA,NA,NA,NA,48476.182,NA,NA,NA,4
1988,643.188,11343.2826,2523.1354,3154.94555,6565.32275,NA,NA,NA,NA,141.9137,19.4957935595845,36126.832,4501.9971,3640.81035,7.94935,NA,NA,NA,NA,37606.513,NA,NA,NA,4
1989,1036.556,19994.6704,4094.8566,5649.10525,10232.8137,NA,NA,NA,NA,203.6969,31.8947308965648,54734.677,21384.88105,5068.7752,89.20195,NA,NA,NA,NA,63193.6045,NA,NA,NA,4
1990,1095.313,21706.82625,4397.1535,4833.8934,10042.0157,NA,NA,NA,NA,245.58355,21.0113601440984,55486.2465,25054.67575,4935.4604,88.64615,NA,NA,NA,NA,65199.3475,NA,NA,NA,4
1991,861.505,15240.91995,3194.18045,3145.80315,7891.94535,NA,NA,NA,NA,205.72925,18.6135968924137,44448.3695,8476.9006,3597.8752,37.83315,NA,NA,NA,NA,49807.287,NA,NA,NA,4
1992,883.265,14226.67445,2913.01725,2783.26075,8199.5073,NA,NA,NA,NA,296.7049,20.2456114037932,44637.6755,5445.3616,3708.074,24.9438,NA,NA,NA,NA,50646.2385,NA,NA,NA,4
1993,888.328,14196.98935,2761.62995,2946.3731,8153.16075,NA,NA,NA,NA,135.7673,26.0405452324462,45558.5007,4577.5922,4745.7545,0.5111,NA,NA,NA,NA,49248.2375,NA,NA,NA,4
1994,587.299,10675.44925,2138.70585,2024.6956,6561.41105,NA,NA,NA,NA,88.5221,9.80059611628646,29787.9887,9743.82155,3081.51075,0,NA,NA,NA,NA,38426.454,NA,NA,NA,4
1995,1339.947,21612.94645,4126.6183,4986.19455,12309.48265,NA,NA,NA,NA,151.17575,32.8515003409624,62867.72565,18372.7685,8609.829,0.385,NA,NA,NA,NA,75593.5275,NA,NA,NA,4
1996,1162.484,18558.72195,3471.51175,4165.0833,10107.285,NA,NA,NA,NA,128.67405,26.7964046762008,47838.25135,23808.98575,5890.755,0,NA,NA,NA,6823.1676145905,60362.278,NA,NA,NA,4
1997,701.283,11212.5107,2203.6455,2071.44665,6355.04895,NA,NA,NA,NA,107.09505,11.8443951668911,29783.52455,12582.74185,2812.6175,5.1486,14665.12195,NA,NA,3830.27886364,40691.621,NA,NA,NA,4
1998,974.39,21721.1601,3825.95295,3344.7568,9593.10625,NA,NA,NA,NA,100.9279,26.3138771631635,37017.5489,52466.6749,4320.7307,0,15932.7783,NA,NA,4770.93525884475,59189.328,NA,NA,NA,4
1999,1097.667,20210.3406,3625.19825,3684.20705,10136.21085,NA,NA,NA,NA,117.88055,27.6002690596708,44745.15695,38691.1206,5317.7513,1.22045,NA,NA,NA,5650.53663642525,63910.4255,NA,NA,NA,4
2000,677.251,10149.43085,2029.6233,1895.2162,6395.78605,NA,NA,NA,NA,69.64155,14.0427066798439,29654.83455,11621.10675,2667.32945,0,NA,NA,NA,3812.2500073785,40572.074,NA,NA,NA,4
2001,752.335,10025.5435,1929.9842,1809.9845,7082.55675,NA,NA,NA,NA,76.48975,13.7591239276761,33500.64815,5105.78895,3567.08925,1.64415,NA,NA,NA,4011.87790277575,43663.927,NA,NA,NA,4
2002,633.933,8487.95885,1658.6817,1472.5772,6237.8118,NA,NA,NA,NA,63.5264,9.23079413980728,27777.48025,5269.4564,2981.8321,7.20825,NA,NA,NA,3704.99326049875,37182.799,NA,NA,NA,4
2003,1201.373,14999.88895,2716.4005,2126.6605,10490.74325,NA,NA,NA,NA,122.54435,20.6447862884943,49273.1576,5423.7774,5561.02065,0,NA,NA,NA,6487.64508764725,67787.459,NA,NA,NA,4
2004,959.73,11276.90915,2179.3639,1871.61255,8920.8626,NA,NA,NA,NA,95.973,13.402262575791,38484.7566,3321.65935,4278.7816,0,NA,NA,NA,5673.40310346075,52896.163,NA,NA,NA,4
2005,1252.883,14217.70335,2613.66135,2041.95825,11011.30805,NA,NA,NA,NA,125.2883,15.8126748401304,47723.22365,2640.38535,5244.4379,0,NA,NA,NA,6788.008215976,65746.872,NA,NA,NA,4
2006,989,10940.0574,2076.5886,1824.86915,8449.0129,NA,NA,NA,NA,98.9,13.7157143183822,35686.1207,5296.4868,3771.55115,0,NA,NA,NA,5149.59156705475,52115.49,NA,NA,NA,4
2007,1037.333,10886.20325,2138.4207,1612.9907,8839.3012,NA,NA,NA,NA,103.7333,14.0800893522443,37821.4749,2322.1631,3551.8269,0,NA,NA,NA,5577.32807661775,56803.508,NA,NA,NA,4
2008,1117.693,11093.6783,2163.46645,1275.70495,9063.53055,NA,NA,NA,NA,111.7693,13.3807276376447,38811.77495,1410.96775,3414.52915,0,NA,NA,NA,6691.396771174,64261.716,NA,NA,NA,4
2009,1210.618,11484.5831,2265.7968,1446.67745,9854.1364,NA,NA,NA,NA,121.0618,12.7675665829813,39045.27735,707.50155,3863.22695,0,NA,NA,NA,6107.0433935275,70041.5755,NA,NA,NA,4
2010,1319.677,11968.51125,2369.41335,2023.3844,10325.2895,NA,NA,NA,NA,131.9677,21.5647346122346,39650.5285,2348.2674,4850.3057,0,NA,NA,NA,6650.15258402525,69667.464,NA,NA,NA,4
2011,1198.789,10721.73505,2132.4216,1582.0899,10135.3355,NA,370.641675,286.3601,NA,119.8789,13.5996051355052,35546.0092,2023.5467,3725.9555,0,NA,NA,NA,6106.44577875925,71143.4015,NA,NA,NA,4
2012,1064.469,9404.1972,1968.57135,1368.8089,10228.7731,NA,308.8851,235.18045,NA,88.48355,9.6578015400685,31903.68365,2469.38145,4237.844,7.23975,NA,NA,NA,6158.830307533,66172.92235,NA,NA,NA,4
