"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","ws"
1998,1015.728,14088.06935,2529.8105,2121.1935,7735.75785,NA,NA,NA,NA,105.02735,74.3316875879026,38532.64395,29375.99475,4132.9816,0,14123.32375,NA,NA,4414.31484664775,50834.925,NA,NA,NA,2
1999,1094.722,12343.56885,2203.1137,2012.51425,7517.98245,NA,NA,NA,NA,113.2157,69.3065822087104,45622.46015,9644.09635,4887.99555,0,12836.67845,NA,NA,5235.918284502,52556.138,NA,NA,NA,2
2000,694.724,7250.8356,1365.06715,1156.9302,4748.1184,NA,NA,NA,NA,69.80465,35.038355152066,29510.5695,3757.6003,2552.8486,0,8124.0302,NA,NA,3486.930051524,33529.205,NA,NA,NA,2
2001,790.179,7757.04815,1441.8079,1065.1174,5821.673,NA,NA,NA,NA,80.2369,44.3847841096127,32980.17855,1872.59085,3761.7652,0,9245.0943,NA,NA,3666.24733249425,37386.9375,NA,NA,NA,2
2002,723.932,6894.465,1304.781,961.61875,5364.3629,NA,NA,NA,NA,73.5083,39.9020074757419,29170.319,3244.5813,3320.28925,0.23895,8470.0044,NA,NA,3399.83089702025,33886.772,NA,NA,NA,2
2003,1241.894,11490.0098,2094.14935,1411.3517,8925.09435,NA,NA,NA,NA,124.1894,69.7273334357922,47736.54875,4301.79105,5909.6217,0,14530.1598,NA,NA,5934.373863692,57640.177,NA,NA,NA,2
2004,1042.28,9075.4747,1724.0756,1253.12765,7599.09485,NA,NA,NA,NA,105.87875,48.4418918655057,39467.4338,2082.4344,4401.468,0,12194.676,NA,NA,5365.95633936375,46834.6585,NA,NA,NA,2
2005,1322.622,11304.12765,2071.6866,1290.8667,9195.51585,NA,NA,NA,NA,132.2622,54.7133479075873,47396.3753,1677.77475,5398.8533,0,15474.6774,NA,NA,6469.64277602725,56372.9035,NA,NA,NA,2
2006,1040.987,8475.54065,1616.45095,1166.9968,7027.7993,NA,NA,NA,NA,104.0987,43.5693830910001,35381.55655,3361.54025,3864.9341,0,12179.5479,NA,NA,4633.15619797525,43839.5805,NA,NA,NA,2
2007,1120.798,8640.40245,1701.26005,974.8763,7314.88965,NA,NA,NA,NA,112.0798,47.3873236467759,38276.40995,952.48195,3468.8358,0,13113.3366,NA,NA,5062.09682532575,48913.144,NA,NA,NA,2
2008,1201.278,8752.24025,1715.39295,664.76095,7380.48315,NA,NA,NA,NA,120.1278,46.5035173216568,38903.53135,514.3331,3256.545525,0,14054.9526,NA,NA,6334.31714268463,55005.1575,NA,NA,NA,2
2009,1145.181,7906.92375,1575.2485,750.32465,7017.12145,NA,NA,NA,NA,114.5181,40.1676831810834,34334.1296,296.10145,3372.79335,0,13398.6177,NA,NA,4757.79277862625,52998.047,NA,NA,NA,2
2010,1206.522,7680.80465,1573.1811,1054.5858,7401.5025,NA,NA,NA,NA,120.6522,54.797878362617,34007.8027,721.20225,4383.10615,0,14116.3074,NA,NA,5144.0254199775,51836.0595,NA,NA,NA,2
2011,1103.379,6762.00875,1380.93555,662.497,7163.61585,NA,569.48035,255.6894,NA,110.3379,41.2254299903228,30185.996,592.8772,3241.21625,4.03665,12909.5343,NA,NA,4281.267037819,52445.497,NA,NA,NA,2
2012,954.13,5786.9425,1238.23625,547.85955,7099.12335,NA,441.4072,213.3147,NA,80.79155,27.5656620232422,26104.91825,630.10015,3622.1397,8.1507,12128.5619,NA,NA,4841.84032030525,47495.857,NA,NA,NA,2
2013,963.62,5701.0847,1310.9402,1086.8925,7551.2693,NA,490.26165,211.1037,717.2366,25.155,26.0731324235658,25513.17835,2155.42855,3404.5953,4.4702,15462.4938,1076.84515,697.00085,4338.01653861425,46419.80915,98.94505,9.6042,294.25985,2
2014,803.431,4613.9784,1019.71085,565.73325,5559.8319,NA,378.916,185.89425,752.64445,37.6473,24.8785720138574,20196.3292,752.37535,3737.0316,0,12594.7521,598.6022,573.60705,4454.50679700075,39646.77085,74.58865,0,241.4033,2
2015,999.688,5643.788175,1125.939325,731.19075,6876.5508,NA,431.08245,213.50575,895.3709,33.13815,32.1232428957268,24030.41225,304.6152,4432.75565,1.668,16805.7633,534.74655,667.65025,4624.07252556475,49094.7626,70.1732,22.539125,299.9064,2
2016,759.468,3970.1359,853.17305,515.222,4546.15125,NA,408.37005,120.5887,718.55085,17.58845,24.7315672225395,17377.0289,290.0628,3513.6757,0,11852.24195,393.61055,451.6325,3346.5659509515,33687.97325,17.4147,14.09765,247.74325,2
2017,939.377,5626.7937,1133.3882,1339.83895,6540.469,NA,574.3385,236.3373,867.15435,60.00945,30.3229558028622,22840.65905,429.1779,4672.3112,0,18772.05735,553.4109,574.3052,7182.6476413795,43952.0417,94.9856,44.5054,495.21215,2
2018,1126.716,5060.431225,1057.481775,537.925975,6056.0036,NA,621.83955,287.235325,1131.310825,115.80875,32.6389538083734,23342.427925,396.2041,4386.490625,9.1857,21220.424775,737.914075,752.077975,5310.67312973263,48000.0251,53.971625,17.0132,338.0148,2
