"WaterYear","flow_mm","volwt_Ca","volwt_Mg","volwt_K","volwt_Na","volwt_Al_Ferron","volwt_TMAl","volwt_OMAl","volwt_Al_ICP","volwt_NH4","volwt_SO4","volwt_NO3","volwt_Cl","volwt_PO4","volwt_DOC","volwt_TDN","volwt_DON","volwt_DIC","volwt_SiO2","volwt_Mn","volwt_Fe","volwt_F","volwt_H","volwt_pH","volwt_SpecCond","volwt_ANC","ws"
1976,948.729,1.47,0.3,0.62,0.97,NA,NA,NA,-888.88,0.011,5.73,0.953,0.33,0.005,-888.88,-888.88,-888.88,-888.88,6.52,-888.88,-888.88,-888.88,0.0018,5.75,21.22,NA,4
1977,1041.954,1.54,0.3,0.56,0.93,NA,NA,NA,-888.88,0.011,5.61,0.275,0.33,0.005,-888.88,-888.88,-888.88,-888.88,6.4,-888.88,-888.88,-888.88,0.0018,5.74,19.99,NA,4
1978,869.854,1.51,0.3,0.51,0.89,NA,NA,NA,-888.88,0.014,5.43,0.137,0.4,0.007,-888.88,-888.88,-888.88,-888.88,5.55,-888.88,-888.88,-888.88,0.0025,5.6,19.68,NA,4
1979,724.424,1.6,0.34,0.73,0.96,NA,NA,NA,-888.88,0.02,5.52,0.402,0.54,0.007,-888.88,-888.88,-888.88,-888.88,6.27,-888.88,-888.88,-888.88,0.0023,5.64,21,NA,4
1980,769.404,1.63,0.36,0.66,1.03,NA,NA,NA,-888.88,0.023,5.96,0.199,0.68,0.004,-888.88,-888.88,-888.88,-888.88,6.41,-888.88,-888.88,-888.88,0.004,5.4,21.65,NA,4
1981,1126.518,1.56,0.33,0.52,0.92,NA,NA,NA,-888.88,0.018,5.67,0.15,0.39,0.008,-888.88,-888.88,-888.88,-888.88,7.2,-888.88,-888.88,-888.88,0.0022,5.66,19.76,NA,4
1982,824.399,1.58,0.34,0.49,0.94,NA,NA,NA,-888.88,0.015,5.57,0.132,0.44,0.006,-888.88,-888.88,-888.88,-888.88,6.29,-888.88,-888.88,-888.88,0.0012,5.91,19.43,NA,4
1983,1035.848,1.54,0.31,0.48,0.84,NA,NA,NA,-888.88,0.015,5.26,0.029,0.42,0.008,-888.88,-888.88,-888.88,-888.88,5.67,-888.88,-888.88,-888.88,0.0023,5.64,19.15,NA,4
1984,662.634,1.58,0.33,0.43,0.93,NA,NA,NA,-888.88,0.016,5.43,0.151,0.47,0.007,-888.88,-888.88,-888.88,-888.88,6.27,-888.88,-888.88,-888.88,0.0017,5.76,19.72,NA,4
1985,882.801,1.53,0.32,0.45,0.83,NA,NA,NA,-888.88,0.019,5.14,0.228,0.38,0.01,-888.88,-888.88,-888.88,-888.88,5.67,-888.88,-888.88,-888.88,0.0034,5.47,18.91,NA,4
1986,789.718,1.72,0.37,0.42,0.96,NA,NA,NA,-888.88,0.027,5.16,1.207,0.4,0.009,-888.88,-888.88,-888.88,-888.88,6.38,-888.88,-888.88,-888.88,0.0026,5.58,20.91,NA,4
1987,743.748,1.74,0.39,0.47,1.02,NA,NA,NA,-888.88,0.021,5.38,0.876,0.52,0.013,-888.88,-888.88,-888.88,-888.88,6.52,-888.88,-888.88,-888.88,0.0021,5.68,21.63,NA,4
1988,643.188,1.76,0.39,0.49,1.02,NA,NA,NA,-888.88,0.022,5.62,0.7,0.57,0.001,-888.88,-888.88,-888.88,-888.88,5.85,-888.88,-888.88,-888.88,0.003,5.52,20.76,NA,4
1989,1036.556,1.93,0.4,0.54,0.99,NA,NA,NA,-888.88,0.02,5.28,2.063,0.49,0.009,-888.88,-888.88,-888.88,-888.88,6.1,-888.88,-888.88,-888.88,0.0031,5.51,20.98,NA,4
1990,1095.313,1.98,0.4,0.44,0.92,NA,NA,NA,-888.88,0.022,5.07,2.287,0.45,0.008,-888.88,-888.88,-888.88,-888.88,5.95,-888.88,-888.88,-888.88,0.0019,5.72,20.38,NA,4
1991,861.505,1.77,0.37,0.37,0.92,NA,NA,NA,-888.88,0.024,5.16,0.984,0.42,0.004,-888.88,-888.88,-888.88,-888.88,5.78,-888.88,-888.88,-888.88,0.0022,5.67,17.66,NA,4
1992,883.265,1.61,0.33,0.32,0.93,NA,NA,NA,-888.88,0.034,5.05,0.617,0.42,0.003,-888.88,-888.88,-888.88,-888.88,5.73,-888.88,-888.88,-888.88,0.0023,5.64,17.04,NA,4
1993,888.328,1.6,0.31,0.33,0.92,NA,NA,NA,-888.88,0.015,5.13,0.515,0.53,0,-888.88,-888.88,-888.88,-888.88,5.54,-888.88,-888.88,-888.88,0.0029,5.53,16.42,NA,4
1994,587.299,1.82,0.36,0.34,1.12,NA,NA,NA,-888.88,0.015,5.07,1.659,0.52,0,-888.88,-888.88,-888.88,-888.88,6.54,-888.88,-888.88,-888.88,0.0017,5.78,18.6,NA,4
1995,1339.947,1.61,0.31,0.37,0.92,NA,NA,NA,-888.88,0.011,4.69,1.371,0.64,0,-888.88,-888.88,-888.88,-888.88,5.64,-888.88,-888.88,-888.88,0.0025,5.61,17.46,10.63,4
1996,1162.484,1.6,0.3,0.36,0.87,NA,NA,NA,-888.88,0.011,4.12,2.048,0.51,0,-888.88,-888.88,-888.88,0.59,5.19,-888.88,-888.88,-888.88,0.0023,5.64,17.03,10.53,4
1997,701.283,1.6,0.31,0.3,0.91,NA,NA,NA,-888.88,0.015,4.25,1.794,0.4,0.001,2.09,-888.88,-888.88,0.55,5.8,-888.88,-888.88,-888.88,0.0017,5.77,16.88,14.11,4
1998,974.39,2.23,0.39,0.34,0.98,NA,NA,NA,-888.88,0.01,3.8,5.385,0.44,0,1.64,-888.88,-888.88,0.49,6.07,-888.88,-888.88,-888.88,0.0027,5.57,21.55,8.91,4
1999,1097.667,1.84,0.33,0.34,0.92,NA,NA,NA,-888.88,0.011,4.08,3.525,0.48,0,-888.88,-888.88,-888.88,0.51,5.82,-888.88,-888.88,-888.88,0.0025,5.6,19.38,10.25,4
2000,677.251,1.5,0.3,0.28,0.94,NA,NA,NA,-888.88,0.01,4.38,1.716,0.39,0,-888.88,-888.88,-888.88,0.56,5.99,-888.88,-888.88,-888.88,0.0021,5.68,16.8,14.02,4
2001,752.335,1.33,0.26,0.24,0.94,NA,NA,NA,-888.88,0.01,4.45,0.679,0.47,0,-888.88,-888.88,-888.88,0.53,5.8,-888.88,-888.88,-888.88,0.0018,5.74,15.49,11.36,4
2002,633.933,1.34,0.26,0.23,0.98,NA,NA,NA,-888.88,0.01,4.38,0.831,0.47,0.001,-888.88,-888.88,-888.88,0.58,5.87,-888.88,-888.88,-888.88,0.0015,5.84,15.56,15.31,4
