"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","ws"
1988,686.1,9419.3156,2515.67715,3480.96205,5206.79705,NA,NA,NA,NA,172.0505,27.9815753481537,38722.37,784.1175,2804.2216,16.5559,NA,NA,NA,NA,34579.631,NA,NA,NA,5
1989,1065.691,14109.8368,3278.54305,4549.1965,7955.7741,NA,NA,NA,NA,241.7191,44.1139839969721,58704.269,558.70215,3716.9849,83.41455,NA,NA,NA,NA,56521.1885,NA,NA,NA,5
1990,1137.966,15011.1171,3438.99495,4025.738,7562.5408,NA,NA,NA,NA,345.9862,51.8309690064032,58210.395,979.23305,4019.12215,96.50235,NA,NA,NA,NA,58700.486,NA,NA,NA,5
1991,900.719,11997.3272,2872.575,3060.1238,6144.5987,NA,NA,NA,NA,238.26615,35.8747881227956,46770.056,821.8215,2964.7207,34.5898,NA,NA,NA,NA,45513.057,NA,NA,NA,5
1992,907.613,11074.49385,2710.52535,3066.62135,6080.48095,NA,NA,NA,NA,331.00955,45.2064031338603,43970.977,315.3926,3006.09095,32.3605,NA,NA,NA,NA,44073.9465,NA,NA,NA,5
1993,897.903,11188.49695,2620.6432,2953.036,6221.7912,NA,NA,NA,NA,156.70665,36.3001619208679,45434.4114,154.41305,3719.64455,0.8642,NA,NA,NA,NA,43692.928,NA,NA,NA,5
1994,627.197,8151.54365,1999.0255,2095.88625,4955.5847,NA,NA,NA,NA,100.09765,18.629736435955,32106.34055,68.5925,2542.53525,6.6469,NA,NA,NA,NA,34342.7125,NA,NA,NA,5
1995,1372.857,15512.7947,3736.9322,4785.10465,9988.26285,NA,NA,NA,NA,163.2214,64.1612036011183,66583.3082,307.86015,7491.07625,1.7721,NA,NA,NA,NA,68186.793,NA,NA,NA,5
1996,1214.197,13089.7212,3102.9434,4002.6884,8184.34465,NA,NA,NA,NA,142.845,58.801644938822,53715.20675,777.951,5203.13545,0,NA,NA,NA,6392.19118739863,55601.155,NA,NA,NA,5
1997,742.051,8310.95125,2094.5837,2362.6611,5169.59015,NA,NA,NA,NA,113.31285,24.8868159678737,33116.2693,578.10795,2560.72845,7.52545,20191.05765,NA,NA,3932.295085719,37937.9055,NA,NA,NA,5
1998,970.041,11109.0945,2657.86815,2820.24825,6877.7682,NA,NA,NA,NA,101.34315,34.544694273234,43001.2978,1447.4336,3617.91325,5.09295,22097.841775,NA,NA,4560.0149606635,52027.832,NA,NA,NA,5
1999,1121.904,11978.465325,2920.775875,3636.4795,7634.9842,NA,NA,NA,NA,112.91685,49.4617561234824,49532.10275,1183.2359,4837.764,0.72645,22921.26695,NA,NA,5518.17808743925,57199.4475,NA,NA,NA,5
2000,671.941,6986.13365,1847.56975,1886.6316,4763.49235,NA,NA,NA,NA,69.2353,24.6506312304739,29956.3137,393.08025,2301.30595,0,NA,NA,NA,3525.2853769305,35932.174,NA,NA,NA,5
2001,768.023,8235.43195,2067.96235,2080.26405,5637.89245,NA,NA,NA,NA,76.8023,34.0845359829818,36290.52775,240.95775,3272.6496,10.92805,NA,NA,NA,3897.61078814275,39561.624,NA,NA,NA,5
2002,617.41,6606.51895,1698.0911,1623.7781,4732.7354,NA,NA,NA,NA,61.741,25.5565254056884,29517.8157,631.9357,2659.78285,0.2851,NA,NA,NA,3106.03648645925,32906.12,NA,NA,NA,5
2003,1191.644,11562.08365,2833.71,2379.6636,8505.3146,NA,NA,NA,NA,119.1644,60.770631487377,51292.75095,1187.7058,5353.2306,0,NA,NA,NA,5727.94525516475,62636.9075,NA,NA,NA,5
2004,906.147,8333.35655,2172.9955,1970.40915,6535.19195,NA,NA,NA,NA,90.6147,37.3559752609562,38109.79645,436.006,3752.76365,0,NA,NA,NA,4738.09893675175,45474.028,NA,NA,NA,5
2005,1230.424,10846.47825,2758.8971,2774.16975,8670.95735,NA,NA,NA,NA,123.0424,50.0017418559888,49997.3386,499.56865,4880.36765,0,NA,NA,NA,5954.7343243915,60308.7125,NA,NA,NA,5
2006,995.827,8503.53665,2207.06555,2207.2294,6532.27615,NA,NA,NA,NA,99.5827,42.0483287974262,38436.9745,1655.11195,3651.41165,0,NA,NA,NA,4565.11363378275,48113.305,NA,NA,NA,5
2007,1037.065,8697.8862,2363.0915,2082.02745,6848.6955,NA,NA,NA,NA,106.6972,43.4579259629086,40147.6854,1082.90345,3309.13215,0,NA,NA,NA,4956.98244721575,51644.963,NA,NA,NA,5
2008,1064.043,8363.2363,2273.9756,1645.5826,6769.88,NA,NA,NA,NA,106.4043,41.812442071229,39100.44285,777.706,3027.34085,0,NA,NA,NA,5681.618910228,55857.1635,NA,NA,NA,5
2009,1085.229,8295.5748,2224.20215,1599.1437,6840.28965,NA,NA,NA,NA,108.5229,37.8698510114761,37256.89885,345.15545,3194.57385,0,NA,NA,NA,4540.4072387345,56605.935,NA,NA,NA,5
2010,1156.299,8353.3492,2252.57765,2110.4625,7042.04855,NA,NA,NA,NA,115.6299,53.7164518415017,37830.18045,475.0514,3914.25195,0,NA,NA,NA,5013.01890609125,54870.3975,NA,NA,NA,5
2011,1043.502,7439.26085,2006.0284,1614.21795,6681.6695,NA,725.686125,367.912225,NA,104.3502,41.1898647129254,33627.8818,578.9184,3000.71185,0,NA,NA,NA,4051.05226850075,55387.485,NA,NA,NA,5
2012,990.642,7168.042,2027.8466,1571.3764,7394.78645,NA,604.5372,314.00325,NA,83.9628,27.8729680116302,32892.81625,1023.0927,3544.126,7.17505,NA,NA,NA,4806.76103606125,54966.57645,NA,NA,NA,5
2013,889.051,6284.42925,1821.96905,1849.10495,6561.18285,NA,625.26745,284.2362,923.7925,19.53085,23.8274672923519,27167.1019,2445.72605,2936.83575,4.037,18076.53,1149.63005,683.3179,4250.659024274,46942.3497,91.88115,17.2124,268.65935,5
2014,710.901,4922.1455,1465.0633,1067.34335,5073.2388,NA,428.65475,226.014,870.9161,29.528,19.5552719956644,22089.6394,462.8905,2986.0131,0,13608.73845,447.9482,512.87255,3948.548333676,39274.9022,46.01395,13.14985,252.9089,5
2015,927.196,6334.74005,1627.12055,1292.606875,6577.749025,NA,631.92265,307.47575,1190.0646,36.94975,31.2604536699549,27740.38225,278.1588,3688.3417,0,19623.99685,526.02635,655.3803,4653.1698367185,50338.6121,66.765975,63.395425,305.4164,5
2016,845.169,5337.89175,1542.59195,1199.44975,5208.67165,NA,678.50835,223.33095,1097.8129,22.2986,29.0483589084722,24927.509,355.0968,3428.358,0,17338.5821,475.42945,533.13715,3936.3645834505,42247.416,29.0221,34.8492,344.5924,5
