"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","ws"
1963,647.931,11862.06275,2578.54865,1986.07565,5153.35245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1964,442.821,6536.97065,1616.865,786.46615,3556.53495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1965,680.996,11011.0294,2823.1523,1496.59785,5788.3639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1966,757.971,12326.2463,3011.44695,1774.4604,5966.17425,NA,NA,NA,NA,NA,215.8922855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1967,870.252,14499.049,3741.54335,2310.0043,7658.9577,NA,NA,NA,NA,NA,157.1772451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1968,852.497,14124.24865,3417.90465,2686.35815,6780.0297,NA,NA,NA,NA,NA,221.6791339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1969,834.632,18094.759,3839.699,2294.13345,7114.00395,NA,NA,NA,NA,NA,231.2946595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1970,730.811,14815.9779,3126.409425,1777.6691,5717.78625,NA,NA,NA,NA,250.902425,138.3823148,50205.392,30459.18053,4688.0338,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1971,684.296,12793.7658,2635.73615,1677.84965,5188.7237,NA,NA,NA,NA,75.286375,148.7252508,47637.3895,20638.95993,3701.1983,NA,NA,NA,NA,NA,29807.6545,NA,NA,NA,1
1972,952.916,17187.3091,3254.36875,2351.3378,7147.94935,NA,NA,NA,NA,191.9782,198.2242157,67114.088,24951.20125,5279.82675,2.9496,NA,NA,NA,NA,41090.2265,NA,NA,NA,1
1973,1335.332,24452.7246,4799.21265,3228.4258,8705.70785,NA,NA,NA,NA,421.51105,236.7032259,88032.4075,48597.1634,5815.5418,0.66295,NA,NA,NA,NA,50873.10525,NA,NA,NA,1
1974,760.748,13945.13715,2892.38625,2344.68685,5330.90225,NA,NA,NA,NA,170.4102,99.28286887,50798.652,28087.2716,4402.37565,9.84485,NA,NA,NA,NA,30836.772,NA,NA,NA,1
1975,1188.641,20471.14355,4007.59595,2532.0109,7914.79305,NA,NA,NA,NA,190.1677,164.4263301,77561.085,42634.07125,5071.17195,8.321,NA,NA,NA,NA,49092.836,NA,NA,NA,1
1976,867.627,13997.7774,2761.3405,2196.00375,5816.38585,NA,NA,NA,NA,90.14585,116.6133354,49057.2312,32449.9292,3709.849575,12.33745,NA,NA,NA,NA,36298.573,NA,NA,NA,1
1977,950.127,13805.78915,2674.7022,2289.96055,6022.5171,NA,NA,NA,NA,96.8935,123.1351305,59357.056,14998.63955,3871.59405,33.98405,NA,NA,NA,NA,38572.0155,NA,NA,NA,1
1978,814.881,11012.92705,2263.1431,2137.0816,5559.04175,NA,NA,NA,NA,89.54845,123.4603824,49212.281,13789.41255,4642.80375,17.5393,NA,NA,NA,NA,30057.12925,NA,NA,NA,1
1979,713.724,10557.94735,2155.46385,2264.00385,5352.67555,NA,NA,NA,NA,126.19455,107.4116969,41785.4815,19761.77245,4381.3773,19.84015,NA,NA,NA,NA,29628.515,NA,NA,NA,1
1980,752.7,10893.9097,2397.4562,2177.67125,6337.426,NA,NA,NA,NA,152.46995,128.6189969,46864.265,18707.51065,5965.12415,11.41055,NA,NA,NA,NA,32322.06,NA,NA,NA,1
1981,1071.614,13471.49945,2772.79945,1967.9322,7335.44425,NA,NA,NA,NA,210.2033,162.6171226,65195.0035,12539.73625,4848.91835,23.81255,NA,NA,NA,NA,44813.5765,NA,NA,NA,1
1982,807.463,9526.888,2038.96885,1570.82395,5886.71935,NA,NA,NA,NA,117.47625,105.6517425,48663.0795,7921.06925,3889.40125,13.3669,NA,NA,NA,NA,33978.0465,NA,NA,NA,1
1983,1006.116,10739.25995,2233.5188,1889.89085,6855.5612,NA,NA,NA,NA,127.5932,122.4307689,55648.152,2642.7504,4733.0182,45.1798,NA,NA,NA,NA,39198.528,NA,NA,NA,1
