"var","li","bandyears","winyears","ktau","bandwith","window"
"FAGR","sd",2,"13",-0.0801393728222996,0.037037037037037,0.240740740740741
"FAGR","sd",7,"13",0.291521486643438,0.12962962962963,0.240740740740741
"FAGR","sd",12,"13",0.21486643437863,0.222222222222222,0.240740740740741
"FAGR","sd",17,"13",0.101045296167247,0.314814814814815,0.240740740740741
"FAGR","sd",22,"13",0.0847851335656214,0.407407407407407,0.240740740740741
"FAGR","sd",27,"13",0.10801393728223,0.5,0.240740740740741
"FAGR","sd",32,"13",0.133565621370499,0.592592592592593,0.240740740740741
"FAGR","sd",37,"13",0.154471544715447,0.685185185185185,0.240740740740741
"FAGR","sd",42,"13",0.168408826945412,0.777777777777778,0.240740740740741
"FAGR","sd",47,"13",0.168408826945412,0.87037037037037,0.240740740740741
"FAGR","sd",52,"13",0.182346109175377,0.962962962962963,0.240740740740741
"FAGR","ac",2,"13",0.0708478513356562,0.037037037037037,0.240740740740741
"FAGR","ac",7,"13",0.261324041811847,0.12962962962963,0.240740740740741
"FAGR","ac",12,"13",0.365853658536585,0.222222222222222,0.240740740740741
"FAGR","ac",17,"13",0.200929152148664,0.314814814814815,0.240740740740741
"FAGR","ac",22,"13",0.140534262485482,0.407407407407407,0.240740740740741
"FAGR","ac",27,"13",0.0545876887340302,0.5,0.240740740740741
"FAGR","ac",32,"13",0.0615563298490128,0.592592592592593,0.240740740740741
"FAGR","ac",37,"13",0.101045296167247,0.685185185185185,0.240740740740741
"FAGR","ac",42,"13",0.124274099883856,0.777777777777778,0.240740740740741
"FAGR","ac",47,"13",0.13588850174216,0.87037037037037,0.240740740740741
"FAGR","ac",52,"13",0.168408826945412,0.962962962962963,0.240740740740741
"FAGR","sk",2,"13",-0.247386759581882,0.037037037037037,0.240740740740741
"FAGR","sk",7,"13",-0.21486643437863,0.12962962962963,0.240740740740741
"FAGR","sk",12,"13",-0.00116144018583043,0.222222222222222,0.240740740740741
"FAGR","sk",17,"13",0.0522648083623693,0.314814814814815,0.240740740740741
"FAGR","sk",22,"13",0.0592334494773519,0.407407407407407,0.240740740740741
"FAGR","sk",27,"13",0.0336817653890825,0.5,0.240740740740741
"FAGR","sk",32,"13",0.0150987224157956,0.592592592592593,0.240740740740741
"FAGR","sk",37,"13",-0.00813008130081301,0.685185185185185,0.240740740740741
"FAGR","sk",42,"13",-0.0220673635307782,0.777777777777778,0.240740740740741
"FAGR","sk",47,"13",-0.0360046457607433,0.87037037037037,0.240740740740741
"FAGR","sk",52,"13",-0.0429732868757259,0.962962962962963,0.240740740740741
"FAGR","kt",2,"13",0.609756097560976,0.037037037037037,0.240740740740741
"FAGR","kt",7,"13",0.43321718931475,0.12962962962963,0.240740740740741
"FAGR","kt",12,"13",0.224157955865273,0.222222222222222,0.240740740740741
"FAGR","kt",17,"13",0.32404181184669,0.314814814814815,0.240740740740741
"FAGR","kt",22,"13",0.340301974448316,0.407407407407407,0.240740740740741
"FAGR","kt",27,"13",0.370499419279907,0.5,0.240740740740741
"FAGR","kt",32,"13",0.384436701509872,0.592592592592593,0.240740740740741
"FAGR","kt",37,"13",0.396051103368177,0.685185185185185,0.240740740740741
"FAGR","kt",42,"13",0.391405342624855,0.777777777777778,0.240740740740741
"FAGR","kt",47,"13",0.389082462253194,0.87037037037037,0.240740740740741
"FAGR","kt",52,"13",0.391405342624855,0.962962962962963,0.240740740740741
"FAGR","sd",2,"18",-0.0660660660660661,0.037037037037037,0.333333333333333
"FAGR","sd",7,"18",0.516516516516517,0.12962962962963,0.333333333333333
"FAGR","sd",12,"18",0.366366366366366,0.222222222222222,0.333333333333333
"FAGR","sd",17,"18",0.201201201201201,0.314814814814815,0.333333333333333
"FAGR","sd",22,"18",0.0990990990990991,0.407407407407407,0.333333333333333
"FAGR","sd",27,"18",0.0510510510510511,0.5,0.333333333333333
"FAGR","sd",32,"18",0.0660660660660661,0.592592592592593,0.333333333333333
"FAGR","sd",37,"18",0.0660660660660661,0.685185185185185,0.333333333333333
"FAGR","sd",42,"18",0.0990990990990991,0.777777777777778,0.333333333333333
"FAGR","sd",47,"18",0.102102102102102,0.87037037037037,0.333333333333333
"FAGR","sd",52,"18",0.0960960960960961,0.962962962962963,0.333333333333333
"FAGR","ac",2,"18",0.114114114114114,0.037037037037037,0.333333333333333
"FAGR","ac",7,"18",0.276276276276276,0.12962962962963,0.333333333333333
"FAGR","ac",12,"18",0.372372372372372,0.222222222222222,0.333333333333333
"FAGR","ac",17,"18",0.171171171171171,0.314814814814815,0.333333333333333
"FAGR","ac",22,"18",0.0690690690690691,0.407407407407407,0.333333333333333
"FAGR","ac",27,"18",0.003003003003003,0.5,0.333333333333333
"FAGR","ac",32,"18",-0.027027027027027,0.592592592592593,0.333333333333333
"FAGR","ac",37,"18",0.048048048048048,0.685185185185185,0.333333333333333
"FAGR","ac",42,"18",0.0900900900900901,0.777777777777778,0.333333333333333
"FAGR","ac",47,"18",0.153153153153153,0.87037037037037,0.333333333333333
